fault_rate,seed,cells_before,faults,organs_repaired,cells_after,cell_ratio_after_before,repair_seconds,arithmetic_samples_exact,success,error
0.01,0,6258,62,60,5881,0.9397571108980505,0.10620264900012444,True,True,
0.01,1,6102,61,58,5660,0.9275647328744674,0.10324916600006873,True,True,
0.01,2,6167,61,57,5712,0.9262202043132803,0.10187971200002721,True,True,
0.01,3,5959,59,52,5543,0.9301896291324048,0.09989365199999156,True,True,
0.01,4,6232,62,57,5829,0.9353337612323491,0.10300802899996597,True,True,
0.05,0,6258,312,236,4685,0.7486417385746245,0.16933472999994592,True,True,
0.05,1,6102,305,227,4633,0.7592592592592593,0.15053622200002792,True,True,
0.05,2,6167,308,215,4672,0.757580671315064,0.16317000100002588,True,True,
0.05,3,5959,297,219,4581,0.7687531465010908,0.14778955599990695,True,True,
0.05,4,6232,311,244,4672,0.7496790757381258,0.1572813180000594,True,True,
0.1,0,6258,625,361,4100,0.655161393416427,0.18919372200002726,True,True,
0.1,1,6102,610,355,4100,0.6719108489019994,0.18907672500017725,True,True,
0.1,2,6167,616,335,4165,0.6753688989784336,0.18067941300000712,True,True,
0.1,3,5959,595,351,4035,0.677127034737372,0.18577944400021806,True,True,
0.1,4,6232,623,372,4178,0.670410783055199,0.19209274699983325,True,True,
0.2,0,6258,1251,492,3879,0.6198465963566635,0.23392079500013097,True,True,
0.2,1,6102,1220,492,3866,0.6335627663061292,0.22092691900002137,True,True,
0.2,2,6167,1233,486,3866,0.6268850332414464,0.22432589400000325,True,True,
0.2,3,5959,1191,489,3879,0.6509481456620239,0.22621237199996358,True,True,
0.2,4,6232,1246,487,3866,0.6203465982028241,0.22607348999986243,True,True,
0.3,0,6258,1877,557,3840,0.613614573346117,0.24089078099996186,True,True,
0.3,1,6102,1830,566,3840,0.6293018682399213,0.24246453499995368,True,True,
0.3,2,6167,1850,565,3840,0.622669044916491,0.24286568100001205,True,True,
0.3,3,5959,1787,566,3840,0.6444034233931868,0.240893215999904,True,True,
0.3,4,6232,1869,564,3840,0.6161745827984596,0.24060842400012916,True,True,
