cycle,ones,repaired_organs,turnover_organs,original_compute_remaining,original_state_remaining,state_digest
0,678,1,1,9262,1023,-8878103866488632524
1,499,0,1,9258,1022,2826907864866741360
2,520,0,1,9242,1021,6879421991522709651
3,528,0,1,9236,1020,-8421199052351580068
4,538,0,1,9230,1019,783372909155902859
5,548,0,1,9226,1018,-5003821661010684761
6,558,0,1,9220,1017,6387096655341465573
7,555,0,1,9216,1016,6606403465244453791
8,506,0,1,9212,1015,-7895511801609674681
9,559,0,1,9208,1014,1493033134048234351
10,544,0,1,9192,1013,-7176155289223459435
11,563,0,1,9188,1012,4599357588460845344
12,576,0,1,9182,1011,8636660094643697081
13,575,0,1,9178,1010,6924108737882758570
14,591,0,1,9172,1009,3450558320899996714
15,589,0,1,9168,1008,5682726443647416088
16,578,0,1,9152,1007,6065833471276538627
17,585,1,1,9132,1006,-1750794773384156708
18,565,0,1,9128,1005,6022029895924059143
19,575,0,1,9112,1004,3864502027038511866
20,562,0,1,9096,1003,6874597721809601419
21,580,0,1,9090,1002,609569916897268647
22,555,0,1,9086,1001,4001149693553517298
23,577,0,1,9070,1000,6861989574397071560
24,596,0,1,9066,999,-1251550514243599777
25,590,0,1,9060,998,1819923437625667566
26,576,0,1,9056,997,-1241541700940933369
27,585,0,1,9052,996,-1047318500627424172
28,581,0,1,9036,995,-4269234795785588623
29,584,0,1,9030,994,-8307670045418116916
30,581,0,1,9024,993,2093753804974282614
31,588,0,1,9018,992,5190872958912846309
32,574,0,1,9012,991,6213596732562992946
33,596,0,1,9008,990,2325258111312907999
34,597,1,1,8976,989,3275201990919313810
35,563,0,1,8970,988,5871461033198736352
36,566,0,1,8966,987,-3521570528447204247
37,567,0,1,8960,986,-4619938604658690722
38,551,0,1,8954,985,7948685332609274775
39,602,0,1,8950,984,8625532538803326879
40,605,0,1,8934,983,4167976550829102030
41,568,0,1,8918,982,2666263151960482650
42,555,0,1,8912,981,3099774498653704754
43,583,0,1,8906,980,-462108553966425204
44,596,0,1,8900,979,5571003038434875705
45,605,0,1,8884,978,-7000406228500554448
46,591,0,1,8868,977,-5169165702525594372
47,571,0,1,8862,976,-3074768799422537510
48,594,0,1,8846,975,-817378189229599530
49,579,0,1,8830,974,-4918869849378297822
50,562,0,1,8824,973,4735690407434779112
51,565,1,1,8802,972,-8830573209259508752
52,583,0,1,8796,971,-537185909310472676
53,582,0,1,8780,970,-2452667795496959859
54,582,0,1,8764,969,-5556836371175539051
55,603,0,1,8758,968,-2098901020469407441
56,577,0,1,8742,967,3740159595856407882
57,570,0,1,8726,966,-6501394541770148976
58,589,0,1,8720,965,7573810928165819037
59,569,0,1,8704,964,2661828849493042100
60,567,0,1,8688,963,4375517632206961109
61,600,0,1,8684,962,-2239718558080000070
62,592,0,1,8678,961,-6167318104301616189
63,591,0,1,8674,960,2171682493263958852
64,593,0,1,8658,959,5653360476355213299
65,602,0,1,8642,958,-8934962309862603515
66,579,0,1,8636,957,9218079015074812882
67,597,0,1,8630,956,8895379281974383399
68,577,1,1,8598,955,-3547745627881730306
69,568,0,1,8582,954,-2084332806613490608
70,572,0,1,8576,953,4451852441715903650
71,575,0,1,8572,952,-759101511685154177
72,596,0,1,8566,951,-6123760464355279829
73,566,0,1,8560,950,2873594383550002850
74,589,0,1,8556,949,-9089905882766609184
75,584,0,1,8552,948,-4162749201408702727
76,606,0,1,8548,947,-1786870283284962692
77,571,0,1,8544,946,-1369784569867009289
78,579,0,1,8538,945,-9030661274838861645
79,585,0,1,8522,944,2220929687369533811
80,562,0,1,8516,943,-3346091814922762101
81,588,0,1,8510,942,-3389473587899257632
82,586,0,1,8504,941,-7391125634982428361
83,558,0,1,8500,940,-2643309363988848839
84,574,0,1,8484,939,-3511517178262559643
85,569,1,1,8462,938,1221948816082165103
86,574,0,1,8456,937,-8295770472208974071
87,556,0,1,8440,936,-4683505604503243660
88,585,0,1,8424,935,-9156225429020148917
89,584,0,1,8408,934,-1748050424667202378
90,585,0,1,8402,933,-7999602569744511820
91,584,0,1,8398,932,-8600627794127038734
92,586,0,1,8382,931,-4012032080158754300
93,588,0,1,8366,930,-2997410651516818354
94,573,0,1,8362,929,-4262416645381668807
95,554,0,1,8346,928,-8981730533569363824
96,602,0,1,8330,927,-7546301500687441819
97,567,0,1,8314,926,-2272143221736303714
98,571,0,1,8298,925,4214361649720429663
99,579,0,1,8282,924,3565227741001309373
100,586,0,1,8278,923,-5990931338318211585
101,579,0,1,8262,922,8402550537106884485
102,565,1,1,8242,921,4473761949722835449
103,585,0,1,8226,920,6061372503243672197
104,589,0,1,8222,919,-9071034123433389999
105,574,0,1,8218,918,7821432533688328635
106,578,0,1,8214,917,251465828829541518
107,569,0,1,8210,916,5690938685804187106
108,575,0,1,8204,915,8709917335297110899
109,587,0,1,8188,914,-485564495466613504
110,579,0,1,8184,913,-7059417221968231443
111,576,0,1,8168,912,-2910165549531845895
112,571,0,1,8152,911,-8520970461226206258
113,594,0,1,8148,910,-2155325485937922429
114,592,0,1,8144,909,-3687532944009106532
115,575,0,1,8128,908,3879573337583327765
116,590,0,1,8112,907,-4683814476599910193
117,590,0,1,8096,906,2166943404329868880
118,579,0,1,8092,905,2171792990677659315
119,577,1,1,8060,904,-4062800838271818741
